booking_id,customer_id,product_id,booking_date,travel_date,return_date,num_passengers,total_value_gbp,deposit_amount_gbp,balance_due_date,status,channel,agent_id,branch_code,margin_pct,currency,exchange_rate,special_requests,insurance_included,cancellation_date,cancellation_reason,_record_hash
BKG000027,CUS00764,PKG0189,2022-08-20,2022-12-05,2022-12-18,2,18200.0,3640.0,2022-09-06,Completed,Phone,,,0.2475,GBP,1.0,,Y,,,d637ad603dfccbcdd5e5587e8ae46aac
BKG000028,CUS01734,PKG0099,2022-10-08,2023-01-30,2023-02-18,2,20800.0,4160.0,2022-11-01,Completed,Phone,AGT009,,0.1771,GBP,1.0,,N,,,0e4d5f29bea03317e0a04655103523ca
BKG000029,CUS01909,PKG0190,2022-03-19,2022-10-15,2022-10-26,2,12800.0,2560.0,2022-07-17,Completed,Online,AGT020,,0.1458,GBP,1.0,,Y,,,aec89b773ccf5b4ea95ac482d7aa0b5f
BKG000030,CUS01131,PKG0145,2023-11-05,2024-05-21,2024-06-03,4,26000.0,5200.0,2024-02-21,Cancelled,Online,,,0.2421,GBP,1.0,Wheelchair accessible,Y,2023-11-27,Financial,334cb207824f4f1176f0f2a57bd9a7d4
BKG000031,CUS01210,PKG0181,2023-04-25,2023-12-04,2023-12-11,2,10100.0,2020.0,2023-09-05,Completed,Online,AGT018,,0.2794,GBP,1.0,Dietary requirements,N,,,27c918c74469e8910e4f0a4af58eb999
BKG000032,CUS01305,PKG0171,2022-05-17,2022-11-10,2022-11-21,4,41600.0,8320.0,2022-08-12,Completed,Referral,AGT007,,0.2215,GBP,1.0,Anniversary surprise,Y,,,bcccd6b96c4fc3649b7481aa4aeb5b35
BKG000033,CUS01449,PKG0099,2024-01-19,2024-08-21,2024-09-06,2,16000.0,3200.0,2024-05-23,Completed,Phone,AGT004,,0.216,GBP,1.0,Sea view room,Y,,,84486e3149d006867d5b33ad22b3f69f
BKG000034,CUS00286,PKG0001,2023-06-06,2023-11-18,2023-11-26,5,17700.0,3540.0,2023-08-20,Completed,Referral,AGT013,,0.1415,GBP,1.0,Wheelchair accessible,Y,,,73a314a4066e9431ec8a5966ba64db74
BKG000035,CUS01257,PKG0069,2022-05-29,2023-01-01,2023-01-11,2,43300.0,8660.0,2022-10-03,Completed,Referral,AGT002,,0.2086,GBP,1.0,Sea view room,Y,,,08a3d9226d6ad91780d55f6d08571669
BKG000036,CUS00972,PKG0025,2023-03-19,2023-09-23,2023-09-30,2,37000.0,7400.0,2023-06-25,Completed,Agent,AGT020,,0.1392,GBP,1.0,,Y,,,831dab460d4a32377a373cb3db148584
BKG000037,CUS01758,PKG0199,2024-03-04,2024-05-24,2024-06-03,2,6300.0,1260.0,2024-02-24,Completed,Agent,AGT015,,0.1424,GBP,1.0,Wheelchair accessible,Y,,,0aa1a9c782ae934a6b50269499b3d480
BKG000038,CUS00505,PKG0099,2024-12-08,2025-01-25,2025-02-09,2,14900.0,2980.0,2024-10-27,Completed,Agent,AGT005,,0.2376,GBP,1.0,Anniversary surprise,Y,,,ce3e470916e0a375935b5dc91071ac73
BKG000039,CUS01553,PKG0150,2024-02-28,2024-09-20,2024-10-02,2,34700.0,6940.0,2024-06-22,Completed,Agent,,,0.2499,GBP,1.0,,N,,,477450a35e99a51e240d50b84db50902
BKG000040,CUS00663,PKG0141,2022-02-05,2022-03-28,2022-04-18,2,16900.0,3380.0,2021-12-28,Completed,Agent,,,0.2766,GBP,1.0,Wheelchair accessible,Y,,,e15de525a27062df1f6b21cac36a31e2
BKG000041,CUS01793,PKG0066,2024-10-26,2025-03-09,2025-03-26,2,14500.0,2900.0,2024-12-09,Completed,Phone,AGT016,,0.1681,GBP,1.0,Wheelchair accessible,Y,,,f2255600a2bd2ff737d58825211ec4ee
BKG000042,CUS00566,PKG0093,2022-10-31,2022-12-23,2023-01-13,2,45000,9000.0,2022-09-24,Completed,Online,AGT003,,0.1772,GBP,1.0,,Y,,,7feaef409691fd83232af28226796499
BKG000043,CUS01059,PKG0135,2024-06-19,2025-02-17,2025-03-03,2,25200.0,5040.0,2024-11-19,Completed,Online,AGT011,,0.2133,GBP,1.0,,Y,,,86bb8759ca273cc2588f39204ba92ebf
BKG000044,CUS00195,PKG0109,2023-07-29,2023-12-31,2024-01-13,3,10600.0,2120.0,2023-10-02,Completed,Online,AGT002,,0.2357,GBP,1.0,Dietary requirements,Y,,,d8fb159e692bee000282fc7d9c439489
BKG000045,CUS00173,PKG0150,2022-11-12,2023-01-05,2023-01-15,2,30400.0,6080.0,2022-10-07,Completed,Online,AGT003,,0.1366,GBP,1.0,Wheelchair accessible,Y,,,0214d97223cd6d352039e0d6f01524e6
BKG000046,CUS00935,PKG0141,2023-10-11,2024-06-09,2024-06-17,3,16400.0,3280.0,2024-03-11,Completed,Phone,,,0.1406,GBP,1.0,Wheelchair accessible,Y,,,6fe89e2276fbc9122e0a664267cf54c6
BKG000047,CUS01716,PKG0167,2022-02-16,2022-07-21,2022-08-05,4,31900.0,6380.0,2022-04-22,Completed,Online,,,0.2494,GBP,1.0,,Y,,,277f3e4ed31fba7aa17b0312dc43be25
BKG000048,CUS00026,PKG0051,2022-12-10,2023-03-17,2023-04-04,2,24800.0,4960.0,2022-12-17,Cancelled,Phone,AGT002,,0.1736,GBP,1.0,Anniversary surprise,N,2022-12-21,Change of plans,05de6bd6f3158fd6bf9489114d70c191
BKG000049,CUS00345,PKG0036,2024-05-15,2024-09-26,2024-10-16,2,24000.0,4800.0,2024-06-28,Completed,Phone,AGT004,,0.1259,GBP,1.0,,Y,,,c947298e665c75a8b4ced33ae1c30a80
BKG000050,CUS00291,PKG0145,2022-11-28,2023-04-05,2023-04-21,6,38400.0,7680.0,2023-01-05,Cancelled,Online,,,0.2384,GBP,1.0,,Y,2022-12-03,Medical,80d99c6ac6d156acb1db830a54f4160c
BKG000051,CUS01780,PKG0060,2023-01-02,2023-02-17,2023-03-01,2,27200.0,5440.0,2022-11-19,Completed,Online,AGT005,,0.1244,GBP,1.0,Anniversary surprise,N,,,02b138fe18fb504671a2f1017e67f689
BKG000052,CUS00234,PKG0020,2024-03-01,2024-10-13,2024-11-02,2,27600.0,5520.0,2024-07-15,Completed,Online,AGT009,,0.2227,GBP,1.0,,Y,,,9e7286410ed58b6e40daeb2b8f82a2e7
BKG000053,CUS00325,PKG0055,2023-11-10,2024-04-23,2024-05-01,2,15000.0,3000.0,2024-01-24,Completed,Online,AGT020,,0.1402,GBP,1.0,,Y,,,5f1f492aeb078b612946bb7495214847
BKG000054,CUS01249,PKG0077,2023-10-24,2024-03-16,2024-04-04,2,18800.0,3760.0,2023-12-17,Completed,Online,AGT001,,0.1478,GBP,1.0,,N,,,f9822eb2340c18a053850c82988b14f6
BKG000055,CUS00896,PKG0064,2024-12-02,2025-06-15,2025-06-27,3,45000,9000.0,2025-03-17,Completed,Agent,AGT016,,0.208,GBP,1.0,Anniversary surprise,Y,,,784ae6f0e297bce21ac6907af12dbe36
BKG000056,CUS00730,PKG0060,2022-08-25,2023-02-21,2023-03-13,2,31400.0,6280.0,2022-11-23,Completed,Referral,AGT003,,0.1793,GBP,1.0,,N,,,49bb852d1c174219af7e4c83bc29a4ea
BKG000057,CUS01967,PKG0100,2022-03-04,2022-07-02,2022-07-21,4,26900.0,5380.0,2022-04-03,Completed,Phone,,,0.1866,GBP,1.0,,Y,,,0336740a6649f3e40bbe64e49dfe66e7
BKG000058,CUS00511,PKG0057,2022-12-16,2023-05-25,2023-06-06,3,40100.0,8020.0,2023-02-24,Completed,Agent,AGT019,,0.2718,GBP,1.0,Wheelchair accessible,Y,,,a75fc747578c4da8b0b3d5c710bbdb06
BKG000059,CUS00693,PKG0060,2023-07-15,2024-02-05,2024-02-22,3,45000,9000.0,2023-11-07,Completed,Agent,AGT019,,0.2609,GBP,1.0,Dietary requirements,N,,,b88ce186d31f5bb46ac9d7fca3e883bc
BKG000060,CUS00415,PKG0075,2023-03-02,2023-09-20,2023-09-29,2,26600.0,5320.0,2023-06-22,Completed,Online,AGT013,,0.1331,GBP,1.0,Anniversary surprise,Y,,,32134939bb615dc03208e200741813da
BKG000061,CUS01526,PKG0051,2024-03-29,2024-11-08,2024-11-21,2,24300.0,4860.0,2024-08-10,Completed,Phone,AGT008,,0.1726,GBP,1.0,Anniversary surprise,Y,,,a9ceb7322495d91c51f45dada63c3b27
BKG000062,CUS01608,PKG0106,2022-11-16,2023-06-17,2023-06-24,4,42100.0,8420.0,2023-03-19,Completed,Phone,,,0.1578,GBP,1.0,Dietary requirements,N,,,50e5eb71cdbea93baec22a3567e3d17b
BKG000063,CUS00726,PKG0025,2024-11-03,2025-05-19,2025-06-01,2,45000,9000.0,2025-02-18,Completed,Agent,AGT017,,0.2311,GBP,1.0,,Y,,,bac061eeb89b7c837896c506f33f7370
BKG000064,CUS00971,PKG0054,2022-11-14,2023-01-13,2023-02-01,2,39500.0,7900.0,2022-10-15,Completed,Agent,,,0.2709,GBP,1.0,,N,,,eb56c385fe4e33e5d778c28fcf319ab8
BKG000065,CUS01852,PKG0142,2024-03-01,2024-08-09,2024-08-23,4,45000,9000.0,2024-05-11,Completed,Online,AGT018,,0.1411,GBP,1.0,,Y,,,55670da41443c083d808523b2da092de
BKG000066,CUS00610,PKG0197,2023-05-13,2023-12-30,2024-01-15,2,45000,9000.0,2023-10-01,Completed,Online,AGT015,,0.2125,GBP,1.0,Wheelchair accessible,N,,,6ea1251bfad0e2e289a0ef884feee4c0
BKG000067,CUS00706,PKG0076,2022-07-26,2023-01-03,2023-01-21,5,36400.0,7280.0,2022-10-05,Completed,Online,AGT007,,0.2689,GBP,1.0,Wheelchair accessible,N,,,e08903b84cba2e7a4e2b026b4a36b775
BKG000068,CUS01681,PKG0102,2024-03-16,2024-06-29,2024-07-09,4,32000.0,6400.0,2024-03-31,Completed,Online,AGT017,,0.1862,GBP,1.0,Sea view room,N,,,f1a2c0adc84ea91c6cc071d7493b2ef4
BKG000069,CUS00840,PKG0159,2023-01-13,2023-07-11,2023-07-19,2,17400.0,3480.0,2023-04-12,Completed,Online,AGT001,,0.216,GBP,1.0,,Y,,,edf2858d617c6eda9562335bf5627dbf
BKG000070,CUS01170,PKG0198,2023-04-30,2023-06-19,2023-07-01,2,21200.0,4240.0,2023-03-21,Completed,Online,,,0.2136,GBP,1.0,Wheelchair accessible,Y,,,d72debb184ca6cb26874b5d4bd7617b6
BKG000071,CUS00442,PKG0070,2022-09-24,2022-12-15,2022-12-26,4,31200.0,6240.0,2022-09-16,Completed,Agent,AGT014,,0.2054,GBP,1.0,,Y,,,e62f7457645a4d717f3c63a336ff46eb
BKG000072,CUS00544,PKG0177,2022-02-06,2022-10-07,2022-10-22,2,21100.0,4220.0,2022-07-09,Completed,Phone,,,0.126,GBP,1.0,,N,,,ca421846881beee1f51570883467afac
BKG000073,CUS01185,PKG0073,2022-03-27,2022-05-23,2022-05-30,3,22200.0,4440.0,2022-02-22,Completed,Agent,AGT019,,0.225,GBP,1.0,,Y,,,e3cec36d6b94dca1fbae34ecb012a22a
BKG000074,CUS01748,PKG0107,2022-06-28,2022-12-27,2023-01-16,2,18400.0,3680.0,2022-09-28,Completed,Referral,AGT004,,0.2602,GBP,1.0,Dietary requirements,Y,,,f296082645296cc1263287cb86b988fe
BKG000075,CUS00411,PKG0198,2022-11-16,2023-03-05,2023-03-13,2,16400.0,3280.0,2022-12-05,Completed,Online,AGT011,,0.1711,GBP,1.0,,Y,,,28a77e18c577adb27ae6303a1dbba568
BKG000076,CUS00197,PKG0172,2022-02-27,2022-09-25,2022-10-11,2,16200.0,3240.0,2022-06-27,Completed,Online,AGT019,,0.246,GBP,1.0,,N,,,20f38365789365cb20861e4136d15adc
BKG000077,CUS01796,PKG0053,2022-03-23,2022-11-18,2022-11-26,4,45000,9000.0,2022-08-20,Completed,Agent,,,0.1226,GBP,1.0,,Y,,,3d55b95d5c2a1a28140125cbbec50271
BKG000078,CUS01988,PKG0042,2023-09-14,2024-04-23,2024-04-30,4,14900.0,2980.0,2024-01-24,Completed,Online,AGT018,,0.2054,GBP,1.0,Wheelchair accessible,N,,,67b3f8bae5a3cc59f16b7a7716f1c1c3
BKG000079,CUS01913,PKG0125,2023-01-18,2023-05-07,2023-05-28,2,17400.0,3480.0,2023-02-06,Completed,Phone,AGT020,,0.1809,GBP,1.0,Wheelchair accessible,Y,,,8e54ea6b1846dffbcd5bd909de3ff2ba
BKG000080,CUS01616,PKG0142,2022-09-13,2023-02-27,2023-03-09,5,45000,9000.0,2022-11-29,Completed,Online,AGT002,,0.2777,GBP,1.0,,N,,,4dd927cb14b562f2994be6c318dff56f
BKG000081,CUS00244,PKG0039,2023-01-09,2023-04-01,2023-04-18,2,29000.0,5800.0,2023-01-01,Cancelled,Online,AGT002,,0.1282,GBP,1.0,Dietary requirements,N,2023-01-23,Medical,0acb8f7b113987b8c33d969e422e3947
BKG000082,CUS01668,PKG0065,2023-04-28,2023-06-25,2023-07-10,6,31800.0,6360.0,2023-03-27,Completed,Agent,AGT006,,0.2629,GBP,1.0,,Y,,,d7e04c91c2f6dd76d00bd728fc77515c
BKG000083,CUS01657,PKG0185,2024-03-18,2024-07-10,2024-07-24,4,38900.0,7780.0,2024-04-11,Completed,Phone,,,0.2033,GBP,1.0,,Y,,,caf11040567e62b5c75a27b5f4b53f3f
BKG000084,CUS01945,PKG0146,2023-05-01,2023-10-22,2023-11-06,1,5400.0,1080.0,2023-07-24,Cancelled,Agent,AGT002,,0.1745,GBP,1.0,Sea view room,Y,2023-05-23,Financial,ac46d9d9817158ab3556fab039688587
BKG000085,CUS00607,PKG0130,2022-10-09,2023-02-02,2023-02-21,2,21000.0,4200.0,2022-11-04,Completed,Phone,AGT006,,0.1413,GBP,1.0,Anniversary surprise,Y,,,6c2892feb780bf5148028e05d68e2627
BKG000086,CUS01790,PKG0098,2023-05-23,2023-09-05,2023-09-16,1,3000,600.0,2023-06-07,Completed,Referral,,,0.2674,GBP,1.0,,Y,,,4bcd0f273a476918af7277e4770d6874
BKG000087,CUS01958,PKG0166,2022-01-04,2022-08-29,2022-09-13,2,20800.0,4160.0,2022-05-31,Completed,Agent,AGT006,,0.1364,GBP,1.0,,Y,,,f014e5efe5e78ffaecb89ed95ee2a998
BKG000088,CUS01228,PKG0139,2024-03-23,2024-11-16,2024-11-29,2,16700.0,3340.0,2024-08-18,Completed,Phone,,,0.2058,GBP,1.0,,Y,,,8d6e3256c49c4a00dd6b2090d6352528
BKG000089,CUS00228,PKG0185,2023-05-27,2023-08-16,2023-08-31,4,40700.0,8140.0,2023-05-18,Completed,Online,,,0.1437,GBP,1.0,,N,,,e08335a6c00ee550022ece0c186e406f
BKG000090,CUS00965,PKG0072,2022-07-07,2022-10-20,2022-11-04,2,9300.0,1860.0,2022-07-22,Completed,Phone,AGT005,,0.1251,GBP,1.0,,Y,,,3c9791d20c95df07ebac61bf1d19a93b
BKG000091,CUS00927,PKG0069,2022-01-30,2022-09-06,2022-09-21,2,45000,9000.0,2022-06-08,Completed,Online,AGT004,,0.1594,GBP,1.0,Anniversary surprise,Y,,,c40a2146fa9f59e8a1e9ac79c638d3c1
BKG000092,CUS00398,PKG0081,2024-12-31,2025-09-12,2025-10-01,5,12600.0,2520.0,2025-06-14,Completed,Phone,AGT015,,0.2678,GBP,1.0,,Y,,,08e26c34d1fa72865721427067e8de0f
BKG000093,CUS00737,PKG0171,2023-01-11,2023-03-17,2023-04-04,6,45000,9000.0,2022-12-17,Completed,Online,AGT018,,0.1404,GBP,1.0,Dietary requirements,Y,,,b55de864e6d2303fc196ccd9fa6b9cdc
BKG000094,CUS01274,PKG0027,2022-03-10,2022-05-22,2022-06-02,2,17100.0,3420.0,2022-02-21,Completed,Agent,AGT011,,0.2459,GBP,1.0,Dietary requirements,Y,,,08064cc9a5de2d081c9947a118ff37fe
BKG000095,CUS00840,PKG0143,2024-04-14,2024-08-06,2024-08-20,4,15300.0,3060.0,2024-05-08,Completed,Online,AGT010,,0.2226,GBP,1.0,Anniversary surprise,N,,,87fa19038859d51e26a3aed85a779974
BKG000096,CUS01549,PKG0057,2024-02-25,2024-05-10,2024-05-23,3,45000,9000.0,2024-02-10,Completed,Online,AGT018,,0.2093,GBP,1.0,Wheelchair accessible,Y,,,e253c3d1a82f72748c963cf27cb93db4
BKG000097,CUS01271,PKG0170,2024-05-03,2024-07-20,2024-07-30,2,42800.0,8560.0,2024-04-21,Completed,Agent,AGT015,,0.2154,GBP,1.0,,Y,,,204dc3d61936177d52bea824a181358b
BKG000098,CUS01874,PKG0089,2024-12-09,2025-04-10,2025-04-22,2,6500.0,1300.0,2025-01-10,Completed,Phone,AGT012,,0.1645,GBP,1.0,Dietary requirements,N,,,3b8f74918ceaa968627149fb2eb0c817
BKG000099,CUS01161,PKG0111,2022-01-01,2022-08-27,2022-09-12,2,5800.0,1160.0,2022-05-29,Completed,Phone,AGT010,,0.1224,GBP,1.0,,N,,,366fedda111a4a24f0e07454a787ec16
BKG000100,CUS00493,PKG0118,2022-02-10,2022-07-05,2022-07-18,2,33900.0,6780.0,2022-04-06,Completed,Online,AGT009,,0.1911,GBP,1.0,,Y,,,105896431269c67752ae9d7367913b5a
BKG000101,CUS01204,PKG0077,2023-06-14,2024-01-12,2024-01-20,2,13200.0,2640.0,2023-10-14,Completed,Online,AGT002,,0.1966,GBP,1.0,Sea view room,N,,,5e0e99d9ab9d7a003601df784233676b
BKG000102,CUS00606,PKG0102,2024-03-01,2024-06-04,2024-06-20,4,42600.0,8520.0,2024-03-06,Cancelled,Online,AGT015,,0.2602,GBP,1.0,,N,2024-03-11,Medical,c5e80ddc650cdff5263ec02183f4e17f
BKG000103,CUS00357,PKG0065,2022-11-08,2023-05-26,2023-06-16,1,6900.0,1380.0,2023-02-25,Completed,Agent,AGT017,,0.1693,GBP,1.0,Anniversary surprise,Y,,,b16581a5e5414a5750eed5c1220478a4
BKG000104,CUS01230,PKG0102,2023-03-05,2023-06-18,2023-07-08,2,23600.0,4720.0,2023-03-20,Completed,Referral,,,0.2685,GBP,1.0,Sea view room,Y,,,0bb96f2ff9a78f7b82a0f3df937f730f
BKG000105,CUS00333,PKG0004,2023-10-22,2024-04-29,2024-05-12,2,17300.0,3460.0,2024-01-30,Completed,Online,AGT012,,0.1431,GBP,1.0,Wheelchair accessible,Y,,,452f5e2fe8172bd9c20c5a21bc0b2b1a
BKG000106,CUS01907,PKG0047,2024-05-15,2024-11-05,2024-11-17,2,18700.0,3740.0,2024-08-07,Completed,Phone,AGT003,,0.1562,GBP,1.0,,Y,,,88b6f4e98b1217005704cc6de9087f29
BKG000107,CUS01854,PKG0048,2022-06-09,2022-12-04,2022-12-17,3,36800.0,7360.0,2022-09-05,Completed,Online,AGT020,,0.1451,GBP,1.0,,Y,,,6ecf2e86dc66b085945b5a43fda0f0ea
BKG000108,CUS01110,PKG0119,2022-01-20,2022-05-07,2022-05-20,5,45000,9000.0,2022-02-06,Completed,Online,AGT006,,0.185,GBP,1.0,Dietary requirements,Y,,,88ce07c121df372672a4900c6cb62eff
BKG000109,CUS00454,PKG0102,2023-10-01,2024-06-08,2024-06-15,4,42200.0,8440.0,2024-03-10,Completed,Online,AGT012,,0.1451,GBP,1.0,,Y,,,2dce853178ee2897512e4dac3ba2a6a2
BKG000110,CUS00016,PKG0092,2023-11-28,2024-08-09,2024-08-29,1,10600.0,2120.0,2024-05-11,Completed,Online,,,0.1583,GBP,1.0,,Y,,,22f3689e487ac70dafd98deff924b1e3
BKG000111,CUS00998,PKG0155,2023-04-04,2023-09-23,2023-10-07,2,13900.0,2780.0,2023-06-25,Completed,Agent,,,0.2237,GBP,1.0,Sea view room,Y,,,f5018c8419fe88088bbedc2b90fa32f5
BKG000112,CUS00772,PKG0088,2023-04-09,2023-06-28,2023-07-18,4,28500.0,5700.0,2023-03-30,Completed,Phone,AGT009,,0.216,GBP,1.0,,N,,,8dc0c85dc3827fe73663b50316665289
BKG000113,CUS00465,PKG0037,2023-08-18,2024-02-18,2024-03-08,4,45000,9000.0,2023-11-20,Completed,Online,,,0.2389,GBP,1.0,,Y,,,cc69790a6b13b5b2935570ea0a47f9f2
BKG000114,CUS01574,PKG0137,2024-04-06,2024-11-01,2024-11-15,2,22700.0,4540.0,2024-08-03,Completed,Agent,,,0.191,GBP,1.0,Wheelchair accessible,N,,,51eef18810b0cd508d570de00d825262
BKG000115,CUS00402,PKG0091,2022-05-06,2022-10-27,2022-11-15,5,29600.0,5920.0,2022-07-29,Cancelled,Phone,AGT004,,0.1873,GBP,1.0,Sea view room,Y,2022-05-08,Work commitments,59bcb9f070f5080437de95e8fc390202
BKG000116,CUS00857,PKG0195,2022-08-24,2023-03-22,2023-04-08,1,4600.0,920.0,2022-12-22,Completed,Agent,,,0.2237,GBP,1.0,Sea view room,N,,,07a9afc249c1b66df75c2324f8f13889
BKG000117,CUS01280,PKG0185,2022-02-19,2022-07-25,2022-08-02,2,15600.0,3120.0,2022-04-26,Completed,Phone,,,0.2075,GBP,1.0,Sea view room,Y,,,5ebcb931334a24c2df7f5a9b35bca5f2
BKG000118,CUS00876,PKG0162,2023-04-25,2023-12-02,2023-12-16,2,11300.0,2260.0,2023-09-03,Completed,Phone,AGT008,,0.2137,GBP,1.0,,Y,,,4f37baaefa4caff7cc23a452d6a75e3a
