interaction_id,customer_id,interaction_date,interaction_time,channel,interaction_type,duration_mins,outcome,agent_id,destination_interest,budget_range,travel_party_size,referral_source,is_converted
INT0000034,CUS00512,2022-03-11,14:15,Email,Enquiry,15,No-action,,Amalfi Coast,"£20,000+",6,Repeat customer,N
INT0000035,CUS01476,2022-03-31,14:00,Email,Enquiry,15,No-action,,Japan,"£5,000 - £10,000",6,Repeat customer,N
INT0000036,CUS01382,2022-05-13,11:15,In-Store,Enquiry,13,Follow-up,AGT003,Kerala,"£5,000 - £10,000",1,Repeat customer,N
INT0000037,CUS00462,2024-03-10,13:00,Email,Enquiry,10,Follow-up,AGT006,Japan Winter,"£10,000 - £20,000",3,,N
INT0000038,CUS00180,2024-08-03,09:00,Web,Quote,20,No-action,,Peru,"£3,000 - £5,000",6,Travel agent,N
INT0000039,CUS01601,2024-02-17,13:45,In-Store,Enquiry,31,Converted,AGT012,Machu Picchu,"£3,000 - £5,000",6,,Y
INT0000040,CUS01863,2024-05-04,14:15,Email,Booking,12,Converted,,Santorini,"£20,000+",4,Social media,Y
INT0000041,CUS00355,2024-08-15,15:30,Web,Quote,15,Follow-up,AGT001,Norway Fjords,"£5,000 - £10,000",5,,N
INT0000042,CUS00322,2023-11-04,13:30,Phone,Quote,28,No-action,,Vietnam,"£3,000 - £5,000",4,Google,N
INT0000043,CUS01410,2023-10-29,09:45,In-Store,Booking,53,Converted,AGT016,Sri Lanka,"£20,000+",3,,Y
INT0000044,CUS01778,2022-08-31,09:00,In-Store,Post-trip,7,Resolved,AGT015,Santorini,"£3,000 - £5,000",1,Word of mouth,N
INT0000045,CUS01719,2022-03-06,16:00,In-Store,Post-trip,26,Resolved,,Safari Tanzania,"£20,000+",2,Word of mouth,N
INT0000046,CUS00757,2022-12-22,11:30,Web,Post-trip,18,Resolved,,Peru,"£20,000+",5,Social media,N
INT0000047,CUS01795,2023-10-02,12:45,Phone,Quote,43,Follow-up,AGT009,Cinque Terre,"£20,000+",2,Travel agent,N
INT0000048,CUS01857,2024-03-27,09:45,Web,Booking,10,Converted,AGT007,Safari Kenya,"£3,000 - £5,000",5,,Y
INT0000049,CUS00825,2024-04-22,11:00,Phone,Enquiry,11,Follow-up,,Patagonia,"£3,000 - £5,000",2,Word of mouth,N
INT0000050,CUS00050,2023-09-28,15:30,In-Store,Post-trip,38,Follow-up,AGT006,Phuket,"£20,000+",1,Word of mouth,N
INT0000051,CUS01376,2024-09-29,17:45,Web,Post-trip,16,Resolved,AGT010,Kerala,"£5,000 - £10,000",4,Word of mouth,N
INT0000052,CUS00107,2022-03-07,14:15,Phone,Enquiry,21,Follow-up,,Vietnam,"£10,000 - £20,000",3,Travel agent,N
INT0000053,CUS01576,2024-05-12,11:00,Phone,Quote,15,Follow-up,AGT017,Bali,"£10,000 - £20,000",2,Travel agent,N
INT0000054,CUS00312,2022-08-31,12:45,Web,Post-trip,10,Resolved,AGT019,Botswana Safari,"£3,000 - £5,000",6,Word of mouth,N
INT0000055,CUS00450,2024-05-15,12:45,WhatsApp,Enquiry,8,No-action,AGT015,Safari Tanzania,"£5,000 - £10,000",1,Repeat customer,N
INT0000056,CUS00084,2024-06-12,14:15,Phone,Enquiry,51,Follow-up,,Rajasthan,"£5,000 - £10,000",1,Google,N
INT0000057,CUS00728,2023-01-09,15:45,Email,Booking,19,Converted,AGT018,Peru,"£3,000 - £5,000",6,,Y
INT0000058,CUS00977,2023-04-17,10:45,In-Store,Quote,30,No-action,,Japan,"£5,000 - £10,000",4,Google,N
INT0000059,CUS01418,2023-12-22,11:00,Web,Quote,16,No-action,AGT014,Tuscany,"£5,000 - £10,000",4,Word of mouth,N
INT0000060,CUS01373,2023-07-07,09:00,Web,Quote,13,Follow-up,AGT009,Cambodia,"£5,000 - £10,000",5,Google,N
INT0000061,CUS01907,2023-10-25,16:45,Web,Post-trip,10,No-action,,Rajasthan,"£20,000+",4,Word of mouth,N
INT0000062,CUS01929,2024-07-15,13:30,Phone,Quote,21,Converted,AGT017,Seychelles,"£20,000+",5,Word of mouth,Y
INT0000063,CUS01133,2022-04-26,10:30,Email,Enquiry,6,No-action,,Iceland,"£3,000 - £5,000",3,Repeat customer,N
INT0000064,CUS00979,2022-01-23,09:15,Web,Quote,7,Follow-up,,Tuscany,"£3,000 - £5,000",1,Word of mouth,N
INT0000065,CUS01839,2023-10-01,12:15,In-Store,Quote,51,Follow-up,AGT002,Cinque Terre,"£10,000 - £20,000",5,Repeat customer,N
INT0000066,CUS01906,2023-02-28,09:30,Email,Enquiry,7,No-action,AGT006,Norway Fjords,"£3,000 - £5,000",1,Google,N
INT0000067,CUS01739,2022-04-28,17:00,In-Store,Booking,19,Converted,,Kerala,"£10,000 - £20,000",5,Travel agent,Y
INT0000068,CUS01884,2024-04-15,17:15,Email,Quote,3,No-action,AGT008,Cinque Terre,"£10,000 - £20,000",6,Social media,N
INT0000069,CUS01996,2024-07-30,15:45,WhatsApp,Quote,15,Follow-up,,Patagonia,"£5,000 - £10,000",2,Word of mouth,N
INT0000070,CUS01426,2022-02-23,17:15,Phone,Quote,41,Converted,AGT008,Norway Fjords,"£3,000 - £5,000",6,Google,Y
INT0000071,CUS01397,2022-11-12,13:15,Web,Enquiry,7,Converted,AGT015,Cambodia,"£3,000 - £5,000",3,Social media,Y
INT0000072,CUS00560,2022-02-03,09:15,Web,Enquiry,11,No-action,AGT015,Norway Fjords,"£20,000+",4,Travel agent,N
INT0000073,CUS01414,2022-06-28,17:00,Web,Enquiry,3,No-action,AGT014,New Zealand,"£5,000 - £10,000",5,Google,N
INT0000074,CUS01368,2022-03-13,15:45,Email,Booking,12,Converted,AGT007,Bali,"£10,000 - £20,000",3,Google,Y
INT0000075,CUS00602,2024-04-06,17:45,Phone,Enquiry,51,Converted,,Seychelles,"£20,000+",4,Google,Y
INT0000076,CUS00322,2024-07-11,16:00,Email,Quote,8,Converted,AGT019,Safari Tanzania,"£20,000+",4,Google,Y
INT0000077,CUS01749,2024-05-17,16:15,Web,Booking,18,Converted,AGT012,Japan,"£3,000 - £5,000",1,,Y
INT0000078,CUS00290,2022-01-07,13:45,Web,Enquiry,19,No-action,AGT011,Vietnam,"£5,000 - £10,000",1,Word of mouth,N
INT0000079,CUS00212,2022-05-15,09:15,Web,Enquiry,2,Converted,AGT010,Sri Lanka,"£10,000 - £20,000",2,Travel agent,Y
INT0000080,CUS01749,2024-05-10,17:15,Web,Complaint,9,No-action,,Bora Bora,"£10,000 - £20,000",4,Social media,N
INT0000081,CUS01219,2024-04-29,13:30,In-Store,Post-trip,45,Resolved,,Kerala,"£3,000 - £5,000",2,,N
INT0000082,CUS01787,2024-10-27,14:45,Phone,Quote,56,Follow-up,,New Zealand,"£3,000 - £5,000",4,Word of mouth,N
INT0000083,CUS01862,2024-09-01,12:15,Web,Quote,9,No-action,AGT010,Japan Winter,"£5,000 - £10,000",1,Word of mouth,N
INT0000084,CUS00930,2024-04-21,13:45,In-Store,Booking,22,Converted,,Amalfi Coast,"£10,000 - £20,000",5,Repeat customer,Y
INT0000085,CUS00804,2022-10-05,17:15,Email,Quote,6,Follow-up,AGT013,Safari Kenya,"£10,000 - £20,000",1,Word of mouth,N
INT0000086,CUS01972,2024-03-29,14:00,Email,Enquiry,8,No-action,AGT005,Safari Kenya,"£10,000 - £20,000",4,Repeat customer,N
INT0000087,CUS00373,2024-06-02,15:45,Email,Quote,7,Converted,,Peru,"£5,000 - £10,000",2,Repeat customer,Y
INT0000088,CUS01721,2024-07-08,16:00,Phone,Enquiry,27,Converted,,Botswana Safari,"£20,000+",5,Social media,Y
INT0000089,CUS00177,2024-08-17,14:00,WhatsApp,Enquiry,2,Follow-up,AGT016,Machu Picchu,"£3,000 - £5,000",6,,N
INT0000090,CUS00871,2024-02-08,14:00,WhatsApp,Post-trip,5,Resolved,AGT005,Sri Lanka,"£3,000 - £5,000",4,,N
INT0000091,CUS00460,2024-01-28,12:45,Web,Enquiry,6,No-action,,Japan Winter,"£5,000 - £10,000",3,Word of mouth,N
INT0000092,CUS01481,2023-07-02,16:30,Phone,Quote,25,Converted,,Kerala,"£20,000+",6,Social media,Y
INT0000093,CUS00421,2022-04-22,09:30,In-Store,Enquiry,60,Follow-up,AGT001,Phuket,"£20,000+",5,,N
INT0000094,CUS00847,2022-02-11,11:30,Email,Enquiry,4,No-action,AGT013,Australia,"£20,000+",1,Repeat customer,N
INT0000095,CUS00968,2024-04-27,09:00,Phone,Enquiry,51,Follow-up,AGT008,Canada Rockies,"£10,000 - £20,000",6,Google,N
INT0000096,CUS00894,2024-07-09,10:15,Web,Enquiry,10,Follow-up,,Machu Picchu,"£10,000 - £20,000",3,Word of mouth,N
INT0000097,CUS00235,2022-10-27,09:30,Phone,Booking,11,Converted,,Vietnam,"£3,000 - £5,000",5,Google,Y
INT0000098,CUS00109,2023-09-10,13:15,Web,Enquiry,12,Follow-up,AGT016,Svalbard,"£10,000 - £20,000",5,Travel agent,N
INT0000099,CUS01333,2022-10-16,12:00,Web,Enquiry,20,No-action,,Maldives,"£3,000 - £5,000",1,,N
INT0000100,CUS00315,2023-09-12,12:00,Phone,Booking,25,Converted,AGT020,Machu Picchu,"£5,000 - £10,000",2,Google,Y
INT0000101,CUS01531,2023-01-21,13:45,In-Store,Enquiry,44,Converted,,Safari Tanzania,"£20,000+",3,Google,Y
INT0000102,CUS01032,2024-06-17,12:00,WhatsApp,Post-trip,7,Resolved,,Botswana Safari,"£3,000 - £5,000",3,,N
INT0000103,CUS00997,2022-01-13,14:00,In-Store,Enquiry,33,Converted,,Australia,"£3,000 - £5,000",2,Google,Y
INT0000104,CUS00334,2024-01-15,15:45,Email,Quote,4,Converted,AGT004,Norway Fjords,"£20,000+",3,Word of mouth,Y
INT0000105,CUS01423,2024-07-19,10:45,WhatsApp,Enquiry,12,Converted,AGT009,Machu Picchu,"£5,000 - £10,000",2,Word of mouth,Y
INT0000106,CUS00784,2022-12-30,09:15,Web,Enquiry,20,Follow-up,AGT003,Galápagos,"£5,000 - £10,000",5,Word of mouth,N
INT0000107,CUS01126,2024-09-22,15:15,WhatsApp,Post-trip,10,Resolved,AGT013,Peru,"£3,000 - £5,000",5,Social media,N
INT0000108,CUS00478,2023-07-04,16:30,Web,Post-trip,16,Follow-up,,Cambodia,"£10,000 - £20,000",2,Travel agent,N
INT0000109,CUS00833,2023-03-30,11:45,In-Store,Enquiry,47,Follow-up,,Safari Kenya,"£3,000 - £5,000",4,Travel agent,N
INT0000110,CUS00516,2022-05-25,10:15,Phone,Booking,36,Converted,AGT010,Iceland,"£3,000 - £5,000",1,Word of mouth,Y
INT0000111,CUS01981,2024-10-31,10:00,Email,Booking,11,Converted,AGT003,Peru,"£5,000 - £10,000",3,Social media,Y
INT0000112,CUS01165,2022-10-15,12:30,Phone,Complaint,32,No-action,AGT018,Alaska Cruise,"£3,000 - £5,000",3,Travel agent,N
INT0000113,CUS01788,2023-03-13,11:15,Web,Quote,16,No-action,AGT007,Maldives,"£20,000+",1,Word of mouth,N
INT0000114,CUS01806,2023-10-13,12:30,Web,Enquiry,11,Follow-up,AGT009,Cinque Terre,"£5,000 - £10,000",5,Social media,N
INT0000115,CUS00756,2022-08-30,10:30,Phone,Quote,6,Converted,AGT007,New Zealand,"£5,000 - £10,000",6,Repeat customer,Y
INT0000116,CUS00209,2023-11-08,11:00,Phone,Complaint,18,No-action,AGT013,Machu Picchu,"£10,000 - £20,000",3,,N
INT0000117,CUS01870,2023-08-22,16:30,Web,Enquiry,7,Follow-up,AGT005,Maldives,"£5,000 - £10,000",3,Social media,N
INT0000118,CUS00613,2024-07-01,12:30,Phone,Quote,48,Follow-up,,Santorini,"£20,000+",3,,N
INT0000119,CUS00744,2023-09-18,10:15,Phone,Post-trip,35,Resolved,AGT015,Kerala,"£10,000 - £20,000",5,Google,N
INT0000120,CUS01450,2022-02-14,17:00,Phone,Quote,37,No-action,,Tuscany,"£3,000 - £5,000",6,,N
INT0000121,CUS01646,2022-10-10,12:15,In-Store,Enquiry,12,Follow-up,AGT018,Vietnam,"£3,000 - £5,000",2,Travel agent,N
INT0000122,CUS01949,2023-10-29,13:45,In-Store,Enquiry,59,No-action,,Seychelles,"£10,000 - £20,000",2,Google,N
INT0000123,CUS00565,2022-10-28,10:00,In-Store,Post-trip,36,No-action,AGT010,Galápagos,"£3,000 - £5,000",4,Travel agent,N
INT0000124,CUS00120,2022-12-01,09:45,WhatsApp,Booking,3,Converted,,Seychelles,"£20,000+",3,Word of mouth,Y
INT0000125,CUS01220,2023-12-30,16:00,Phone,Enquiry,27,Follow-up,,Vietnam,"£10,000 - £20,000",4,Repeat customer,N
INT0000126,CUS01000,2023-12-22,17:30,Web,Enquiry,11,Follow-up,,Sri Lanka,"£3,000 - £5,000",3,Google,N
INT0000127,CUS00592,2022-11-14,15:45,Web,Quote,7,Converted,,Alaska Cruise,"£3,000 - £5,000",6,Word of mouth,Y
INT0000128,CUS00278,2023-01-29,14:45,In-Store,Enquiry,26,Follow-up,,Peru,"£3,000 - £5,000",4,Google,N
INT0000129,CUS00867,2024-10-15,13:30,Email,Quote,4,Follow-up,AGT020,Phuket,"£5,000 - £10,000",6,Travel agent,N
INT0000130,CUS01490,2024-12-27,09:45,In-Store,Quote,30,Converted,,Svalbard,"£5,000 - £10,000",5,Social media,Y
INT0000131,CUS00766,2023-05-01,12:45,Web,Quote,19,Converted,,Sri Lanka,"£10,000 - £20,000",1,,Y
INT0000132,CUS00726,2023-04-18,15:00,WhatsApp,Quote,7,Converted,AGT018,Iceland,"£5,000 - £10,000",6,Social media,Y
INT0000133,CUS00363,2022-12-13,09:45,In-Store,Booking,6,Converted,,Santorini,"£3,000 - £5,000",3,Google,Y
INT0000134,CUS00822,2022-07-28,10:15,Phone,Booking,39,Converted,AGT018,Tuscany,"£3,000 - £5,000",1,Google,Y
INT0000135,CUS01313,2024-04-13,09:15,Email,Quote,16,Follow-up,AGT008,Tuscany,"£3,000 - £5,000",3,,N
INT0000136,CUS01951,2023-08-08,11:45,Web,Quote,20,Follow-up,AGT013,Japan Winter,"£3,000 - £5,000",5,,N
INT0000137,CUS00923,2023-05-13,13:45,Web,Quote,8,Follow-up,AGT016,Machu Picchu,"£3,000 - £5,000",6,,N
INT0000138,CUS00320,2024-04-04,17:15,Web,Enquiry,9,Follow-up,,Phuket,"£20,000+",5,Travel agent,N
INT0000139,CUS00566,2023-10-25,09:15,Phone,Post-trip,49,Resolved,,Peru,"£20,000+",2,Social media,N
INT0000140,CUS00437,2024-08-19,15:30,Email,Enquiry,9,Follow-up,AGT003,Cambodia,"£20,000+",3,Repeat customer,N
INT0000141,CUS00034,2024-06-02,15:45,WhatsApp,Quote,4,No-action,,Cambodia,"£20,000+",6,,N
INT0000142,CUS00550,2022-08-02,16:45,Web,Enquiry,9,Follow-up,AGT012,Amalfi Coast,"£3,000 - £5,000",6,Social media,N
INT0000143,CUS01204,2022-04-15,14:15,Email,Booking,17,Converted,AGT011,Tuscany,"£20,000+",5,Word of mouth,Y
INT0000144,CUS00083,2024-10-24,16:15,Web,Booking,17,Converted,AGT018,Maldives,"£5,000 - £10,000",1,Travel agent,Y
INT0000145,CUS01215,2024-11-25,11:30,In-Store,Enquiry,45,Follow-up,AGT015,Svalbard,"£3,000 - £5,000",5,Word of mouth,N
INT0000146,CUS00007,2023-06-27,17:30,In-Store,Enquiry,53,Follow-up,,Canada Rockies,"£5,000 - £10,000",6,Word of mouth,N
INT0000147,CUS00553,2023-07-29,10:15,Web,Booking,11,Converted,AGT005,Japan Winter,"£10,000 - £20,000",4,,Y
INT0000148,CUS00560,2023-11-21,10:15,Web,Booking,5,Converted,AGT013,Norway Fjords,"£20,000+",6,Travel agent,Y
INT0000149,CUS00820,2022-05-16,10:30,Web,Quote,3,Follow-up,,Australia,"£5,000 - £10,000",3,Social media,N
INT0000150,CUS01503,2024-12-19,16:30,Web,Enquiry,19,Converted,AGT004,Australia,"£10,000 - £20,000",3,Google,Y
INT0000151,CUS00912,2024-01-07,09:45,Email,Post-trip,10,Resolved,,Bali,"£10,000 - £20,000",1,Travel agent,N
INT0000152,CUS00683,2023-02-15,13:30,WhatsApp,Enquiry,8,No-action,AGT020,Vietnam,"£3,000 - £5,000",5,Google,N
INT0000153,CUS01977,2023-07-23,11:45,Phone,Post-trip,26,Resolved,AGT016,Cambodia,"£3,000 - £5,000",6,Word of mouth,N
INT0000154,CUS01513,2023-09-30,17:15,WhatsApp,Booking,8,Converted,AGT007,Kerala,"£10,000 - £20,000",6,Social media,Y
INT0000155,CUS00455,2022-01-16,13:45,In-Store,Enquiry,58,Converted,AGT010,Japan,"£20,000+",3,,Y
INT0000156,CUS01189,2024-11-23,15:45,Email,Enquiry,11,No-action,AGT015,Galápagos,"£5,000 - £10,000",2,Social media,N
INT0000157,CUS01928,2024-11-19,13:15,Email,Post-trip,14,Resolved,,Japan,"£5,000 - £10,000",5,Word of mouth,N
INT0000158,CUS00732,2023-03-01,13:15,Web,Enquiry,10,Converted,AGT015,Japan Winter,"£20,000+",3,Travel agent,Y
INT0000159,CUS00463,2023-10-29,12:30,Web,Post-trip,17,Resolved,AGT010,Norway Fjords,"£20,000+",4,Travel agent,N
INT0000160,CUS01980,2023-05-04,16:30,Phone,Enquiry,48,No-action,AGT016,Phuket,"£20,000+",3,Travel agent,N
INT0000161,CUS01731,2023-03-01,13:00,In-Store,Booking,24,Converted,,Rajasthan,"£3,000 - £5,000",1,,Y
INT0000162,CUS00214,2022-05-13,17:45,Web,Enquiry,20,No-action,AGT018,Amalfi Coast,"£5,000 - £10,000",5,Word of mouth,N
INT0000163,CUS00122,2023-03-04,15:45,Email,Enquiry,15,Follow-up,AGT004,Kerala,"£10,000 - £20,000",3,Travel agent,N
INT0000164,CUS00240,2022-05-31,17:00,Phone,Enquiry,58,Converted,AGT019,Bora Bora,"£3,000 - £5,000",2,Word of mouth,Y
INT0000165,CUS01994,2024-02-27,14:45,Email,Enquiry,17,Follow-up,,Japan,"£10,000 - £20,000",4,Google,N
INT0000166,CUS00074,2023-03-13,11:30,WhatsApp,Quote,10,No-action,AGT020,Botswana Safari,"£3,000 - £5,000",1,Travel agent,N
INT0000167,CUS00397,2022-01-09,15:15,Email,Enquiry,16,Follow-up,AGT010,Norway Fjords,"£10,000 - £20,000",5,,N
INT0000168,CUS01870,2022-07-27,14:30,Email,Enquiry,6,Follow-up,AGT018,Alaska Cruise,"£10,000 - £20,000",4,Repeat customer,N
INT0000169,CUS01282,2023-10-16,10:15,WhatsApp,Enquiry,7,No-action,,Vietnam,"£10,000 - £20,000",1,,N
INT0000170,CUS01819,2022-05-20,14:30,In-Store,Enquiry,21,Follow-up,,Seychelles,"£3,000 - £5,000",2,Repeat customer,N
INT0000171,CUS01834,2024-06-03,09:15,Email,Quote,20,Converted,AGT016,Japan Winter,"£20,000+",2,Repeat customer,Y
INT0000172,CUS00586,2023-03-15,09:00,Phone,Complaint,12,Follow-up,AGT016,Safari Kenya,"£20,000+",5,Word of mouth,N
INT0000173,CUS01112,2023-08-24,10:00,Web,Enquiry,10,Follow-up,AGT010,Santorini,"£5,000 - £10,000",5,Google,N
INT0000174,CUS01536,2024-10-01,15:15,Web,Quote,7,Follow-up,AGT019,Amalfi Coast,"£10,000 - £20,000",6,Google,N
INT0000175,CUS00407,2024-12-28,09:30,In-Store,Enquiry,57,Follow-up,AGT001,Tuscany,"£10,000 - £20,000",3,Google,N
INT0000176,CUS00078,2024-01-10,09:00,In-Store,Quote,39,Follow-up,,Peru,"£20,000+",4,Social media,N
INT0000177,CUS00299,2023-06-14,15:00,Email,Enquiry,20,No-action,AGT020,Cinque Terre,"£10,000 - £20,000",5,Google,N
INT0000178,CUS01026,2022-02-20,12:30,WhatsApp,Enquiry,4,Converted,AGT009,Canada Rockies,"£3,000 - £5,000",4,Google,Y
INT0000179,CUS00340,2023-03-10,09:30,Web,Enquiry,11,Follow-up,AGT012,Botswana Safari,"£10,000 - £20,000",6,Google,N
INT0000180,CUS00407,2023-02-19,10:15,Phone,Quote,48,No-action,AGT012,Australia,"£5,000 - £10,000",3,,N
INT0000181,CUS01874,2024-07-07,10:00,Web,Enquiry,18,Follow-up,,Canada Rockies,"£10,000 - £20,000",6,Word of mouth,N
INT0000182,CUS00153,2024-03-27,17:00,Web,Enquiry,20,Follow-up,AGT006,Australia,"£20,000+",2,,N
INT0000183,CUS00328,2024-06-18,14:30,Web,Quote,6,Follow-up,,Alaska Cruise,"£3,000 - £5,000",6,Word of mouth,N
INT0000184,CUS00479,2022-11-20,15:30,Web,Quote,4,Converted,AGT007,Japan Winter,"£5,000 - £10,000",2,Google,Y
INT0000185,CUS00574,2022-06-23,10:30,Email,Quote,6,No-action,,Safari Kenya,"£20,000+",5,Social media,N
INT0000186,CUS01471,2024-09-09,16:45,Email,Enquiry,14,Converted,AGT003,Rajasthan,"£10,000 - £20,000",5,Google,Y
INT0000187,CUS01247,2024-06-18,14:45,WhatsApp,Enquiry,15,Converted,AGT016,Safari Kenya,"£20,000+",2,Google,Y
INT0000188,CUS01207,2023-06-29,11:45,Web,Quote,11,Converted,AGT010,Galápagos,"£5,000 - £10,000",6,,Y
INT0000189,CUS00162,2022-05-25,16:45,Email,Booking,4,Converted,AGT004,Safari Kenya,"£3,000 - £5,000",5,,Y
INT0000190,CUS00364,2022-04-05,14:30,WhatsApp,Enquiry,10,No-action,,Alaska Cruise,"£3,000 - £5,000",1,Google,N
INT0000191,CUS01105,2024-10-23,17:30,Phone,Post-trip,13,Resolved,AGT006,New Zealand,"£3,000 - £5,000",5,Repeat customer,N
INT0000192,CUS01981,2022-12-19,16:15,In-Store,Enquiry,11,Follow-up,,Alaska Cruise,"£20,000+",5,Repeat customer,N
INT0000193,CUS01988,2022-10-27,16:45,Phone,Enquiry,13,Follow-up,,Machu Picchu,"£10,000 - £20,000",2,Travel agent,N
INT0000194,CUS01196,2024-11-18,12:45,Email,Enquiry,13,Follow-up,,Santorini,"£20,000+",5,,N
INT0000195,CUS00052,2023-01-08,17:30,Web,Enquiry,9,Follow-up,AGT012,Kerala,"£5,000 - £10,000",3,Travel agent,N
INT0000196,CUS01648,2023-01-10,09:45,Web,Enquiry,9,No-action,AGT004,Botswana Safari,"£5,000 - £10,000",5,Word of mouth,N
INT0000197,CUS01192,2024-03-24,09:30,Email,Booking,19,Converted,,Japan,"£5,000 - £10,000",6,Repeat customer,Y
INT0000198,CUS00733,2024-06-29,11:45,Web,Booking,8,Converted,,Maldives,"£5,000 - £10,000",2,,Y
INT0000199,CUS01238,2022-01-01,15:30,Email,Quote,16,Converted,AGT009,Santorini,"£3,000 - £5,000",2,Google,Y
INT0000200,CUS01655,2022-12-18,10:30,Email,Enquiry,9,Follow-up,AGT004,Safari Kenya,"£10,000 - £20,000",2,Social media,N
INT0000201,CUS01491,2024-07-05,13:30,Web,Enquiry,18,No-action,,Cinque Terre,"£20,000+",2,Travel agent,N
INT0000202,CUS00292,2024-07-06,10:30,Email,Quote,8,Converted,,Bali,"£3,000 - £5,000",6,Repeat customer,Y
